Type,Location on Website,Current Placeholder,File Path,Notes for Client,Status
VIDEO,Homepage - Founder Story,"Watch Haleh's 3-Minute Story",src/components/sections/FounderStory.tsx,"Need: 3-minute video of Haleh sharing her story. Format: MP4, recommended 1080p",Missing
SCREENSHOT,Homepage - How It Works Step 1,"Assessment screenshot placeholder",src/components/sections/HowItWorks.tsx,"Need: Screenshot of the 7-minute assessment UI",Missing
SCREENSHOT,Homepage - How It Works Step 2,"Profile screenshot placeholder",src/components/sections/HowItWorks.tsx,"Need: Screenshot of an Authentic Profile result",Missing
SCREENSHOT,Homepage - How It Works Step 3,"Match screenshot placeholder",src/components/sections/HowItWorks.tsx,"Need: Screenshot showing 70%+ compatible matches",Missing
PHOTO,Homepage - Founder Story,"SVG icon placeholder",src/components/sections/FounderStory.tsx,"Need: Professional photo of Haleh Gianni (headshot)",Missing
PHOTO,Homepage - Testimonials,"SVG icon placeholder",src/components/sections/Testimonials.tsx,"Need: Photos of 4 testimonial members (or keep anonymous with initials)",Optional
PHOTO,The Science Page - Dr. Zannah,"SVG icon placeholder",src/components/sections/Science.tsx,"Need: Professional photo of Dr. Zannah Hackett",Missing
PHOTO,The Science Page - Haleh,"SVG icon placeholder",src/components/sections/Science.tsx,"Need: Professional photo of Haleh (can reuse)",Missing
PHOTO,About Page - Team Section,"SVG icon placeholder",src/app/about/page.tsx,"Need: Team photos for about page",Missing
NAME,Homepage - Hero Testimonial,"Sarah & David",src/lib/copy.ts,"Real couple name or keep as placeholder?",Review
NAME,Homepage - Testimonials,"Sarah K.",src/lib/copy.ts,"Real member name or keep as placeholder?",Review
NAME,Homepage - Testimonials,"Michael R.",src/lib/copy.ts,"Real member name or keep as placeholder?",Review
NAME,Homepage - Testimonials,"Jennifer L.",src/lib/copy.ts,"Real member name or keep as placeholder?",Review
NAME,Homepage - Testimonials,"Carlos M.",src/lib/copy.ts,"Real member name or keep as placeholder?",Review
NAME,Founder Section,"Haleh Gianni",src/lib/copy.ts,"Confirm this is correct spelling",Confirm
NAME,Science Page,"Dr. Zannah Hackett",src/lib/copy.ts,"Confirm this is correct name/title",Confirm
STAT,Homepage - Stats Bar,"13,000+ Assessments",src/lib/copy.ts,"Is this accurate? Update if different",Confirm
STAT,Homepage - Stats Bar,"30+ Years of Research",src/lib/copy.ts,"Is this accurate?",Confirm
STAT,About Page,"200+ Active Members",src/lib/copy.ts,"Current accurate number?",Confirm
STAT,About Page,"47 Couples Matched",src/lib/copy.ts,"Current accurate number?",Confirm
STAT,About Page,"12 Events Hosted",src/lib/copy.ts,"Current accurate number?",Confirm
STAT,Waitlist Page,"1,200+ on Waitlist",src/lib/copy.ts,"Current accurate number?",Confirm
STAT,Homepage - Final CTA,"8 spots left for January",src/components/sections/FinalCTA.tsx,"Update monthly - current spots available",Update Monthly
BLOG,Blog Page,"The Science of Compatibility: Why Dating Apps Get It Wrong",src/app/blog/page.tsx,"Need: Full article content (currently placeholder)",Missing Content
BLOG,Blog Page,"Understanding Your Communication Style in Relationships",src/app/blog/page.tsx,"Need: Full article content (currently placeholder)",Missing Content
BLOG,Blog Page,"Why Shared Interests Don't Matter as Much as You Think",src/app/blog/page.tsx,"Need: Full article content (currently placeholder)",Missing Content
BLOG,Blog Page,"First Date Questions That Actually Matter",src/app/blog/page.tsx,"Need: Full article content (currently placeholder)",Missing Content
BLOG,Blog Page,"Emotional Availability: What It Really Means",src/app/blog/page.tsx,"Need: Full article content (currently placeholder)",Missing Content
BLOG,Blog Page,"Building AILO: A Founder's Journey",src/app/blog/page.tsx,"Need: Full article content (currently placeholder)",Missing Content
BLOG,Blog Page,"Breaking the Pattern: Why You Keep Dating the Same Type",src/app/blog/page.tsx,"Need: Full article content (currently placeholder)",Missing Content
